@relation testingDataUnlabeled

@attribute collar_wifi real
@attribute collar_bluetooth real
@attribute hub_wifi real
@attribute hub_bluetooth real
@attribute restricted {YES,NO}

@data
-56,0,-67,1,NO
-57,15,-65,0,NO
-57,21,-65,0,NO
-57,10,-61,3,NO
-56,4,-61,5,NO
-56,24,-60,5,NO
-56,5,-60,1,NO
-56,10,-60,0,NO
-53,13,-60,0,NO
-54,0,-60,0,NO
-54,0,-60,0,NO
-56,0,-61,0,NO
-59,0,-61,0,NO
-59,0,-62,0,NO
-59,0,-62,0,NO
-59,0,-62,0,NO
-59,-4,-61,-2,NO
-59,0,-61,-1,NO
-58,0,-61,0,NO
-55,0,-61,0,NO
-55,0,-61,0,NO
-46,0,-60,0,NO
-46,0,-60,0,NO
-46,0,-59,0,NO
-50,0,-58,0,NO
-49,0,-58,-1,NO
-45,0,-56,-1,NO
-45,0,-56,0,NO
-44,0,-56,-1,NO
-46,0,-56,-3,NO
-46,0,-56,0,NO
-50,0,-56,0,NO
-53,0,-56,0,NO
-53,0,-56,-2,NO
-56,0,-56,-1,NO
-54,0,-61,0,NO
-54,0,-61,-2,NO
-54,0,-61,-4,NO
-53,0,-61,-4,NO
-53,0,-61,-1,NO
-53,0,-61,0,NO
-53,0,-61,0,NO
-54,0,-62,0,NO
-47,0,-62,0,NO
-47,0,-62,0,NO
-46,0,-62,0,NO
-45,5,-62,0,NO
-45,3,-62,0,NO
-45,0,-62,0,NO
-45,19,-62,0,NO
-45,12,-61,0,NO
-45,14,-61,0,NO
-45,11,-61,0,NO
-45,0,-61,0,NO
-45,0,-61,0,NO
-45,0,-61,0,NO
-47,0,-63,-3,NO
-47,0,-63,-3,NO
-48,0,-62,-2,NO
-52,0,-62,0,NO
-52,0,-62,0,NO
-52,0,-62,0,NO
-48,0,-62,0,NO
-48,0,-62,0,NO
-48,0,-62,0,NO
-46,0,-62,0,NO
-45,0,-62,-2,NO
-44,0,-62,-2,NO
-44,-1,-60,-5,NO
