
@relation testingDataUnlabeled

@attribute collar_wifi real
@attribute collar_bluetooth real
@attribute hub_wifi real
@attribute hub_bluetooth real
@attribute restricted {YES,NO}

@data
-66,0,-62,0,NO
-67,0,-62,0,NO
-67,0,-61,0,NO
-69,2,-61,0,NO
-69,3,-61,0,NO
-69,0,-61,0,NO
-69,2,-61,0,NO
-69,10,-59,0,NO
-69,9,-59,0,NO
-68,3,-60,0,NO
-69,6,-60,0,NO
-69,13,-60,0,NO
-68,13,-60,0,NO
-67,17,-60,0,NO
-67,12,-60,0,NO
-67,15,-60,0,NO
-66,0,-60,0,NO
-66,0,-60,0,NO
-66,0,-60,0,NO
-66,0,-63,0,NO
-66,2,-63,0,NO
-66,0,-62,0,NO
-68,0,-62,0,NO
-69,0,-62,0,NO
-69,0,-62,0,NO
-69,0,-62,0,NO
-71,0,-63,0,NO
-72,0,-63,0,NO
-72,0,-61,0,NO
-73,0,-61,0,NO
-73,0,-61,0,NO
-73,0,-61,0,NO
-72,0,-61,0,NO
-73,0,-60,0,NO
-72,0,-60,0,NO
-72,0,-60,0,NO
-71,0,-60,0,NO
-71,0,-60,0,NO
-71,0,-64,0,NO
-71,0,-64,0,NO
-71,0,-64,0,NO
-71,0,-64,0,NO
-71,0,-64,0,NO
-71,5,-64,0,NO
-70,0,-63,0,NO
-70,19,-63,0,NO
-70,20,-63,0,NO
-70,14,-63,0,NO
-70,13,-63,0,NO
-68,8,-65,0,NO
-66,0,-65,0,NO
-65,0,-67,0,NO
-65,0,-67,0,NO
-66,0,-67,0,NO
-64,0,-66,0,NO
-64,0,-66,0,NO
-64,19,-66,0,NO
-64,0,-66,0,NO
-64,7,-66,0,NO
-64,0,-66,0,NO
-61,0,-66,0,NO
-61,0,-66,0,NO
-61,0,-66,0,NO
-65,0,-66,0,NO
-65,17,-66,0,NO
-64,0,-64,0,NO
-64,0,-64,0,NO
-64,0,-64,0,NO
-64,14,-63,0,NO
-64,0,-63,0,NO
-66,1,-63,0,NO
-66,0,-63,0,NO
-66,5,-63,0,NO
-66,0,-63,0,NO
-66,0,-63,0,NO
-66,13,-63,0,NO
-66,0,-62,0,NO
-67,9,-62,0,NO
-66,5,-63,0,NO
-66,10,-63,0,NO
-68,11,-63,0,NO
-69,4,-63,0,NO
-68,-4,-62,0,NO
-68,13,-62,0,NO
-67,0,-62,0,NO
-66,0,-62,0,NO
-65,0,-62,0,NO
-65,10,-62,0,NO
-65,0,-62,0,NO
-65,0,-63,0,NO
